# Version 1.5.7 / 2025-04-29,,,Changes since last version are marked with a yellow background / Änderungen seit der letzten Version sind mit einem gelben Hintergrund markiert.,,,,,,,,
Type,Name,Group,Source,Destination,Filter,Title,Parent,Title DE,Parent DE,Last Update (Version),Last Update (Date)
# Posts,,,,,,,,,,,
,,,,,,,,,,,
post,,,freitexte->objekttitel,post_title,,,,,,,
post,,,freitexte->objektbeschreibung,post_content,,,,,,,
post,,,freitexte->dreizeiler,post_excerpt,,,,,,,
,,,,,,,,,,,
# Taxonomies,,,,,,,,,,,
,,,,,,,,,,,
taxonomy,,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:INDUSTRIEHALLE,inx_property_type,,Industrial Hall,Storage and Production Spaces,Industriehalle,Lager- und Produktionsflächen,,
taxonomy,,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:LAGER,inx_property_type,,Warehouse,Storage and Production Spaces,Lager,Lager- und Produktionsflächen,,
taxonomy,,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:LAGERFLAECHEN,inx_property_type,,Warehousing Space,Storage and Production Spaces,Lagerfläche,Lager- und Produktionsflächen,,
taxonomy,,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:LAGER_MIT_FREIFLAECHE,inx_property_type,,Warehouse with Open Space,Storage and Production Spaces,Lager mit Freifläche,Lager- und Produktionsflächen,,
taxonomy,,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:HOCHREGALLAGER,inx_property_type,,High-bay Warenhouse,Storage and Production Spaces,Hochregallager,Lager- und Produktionsflächen,,
taxonomy,,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:SPEDITIONSLAGER,inx_property_type,,Forwarding Agency Warehouse,Storage and Production Spaces,Speditionslager,Lager- und Produktionsflächen,,
taxonomy,,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:PRODUKTION,inx_property_type,,Production,Storage and Production Spaces,Produktion,Lager- und Produktionsflächen,,
taxonomy,,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:WERKSTATT,inx_property_type,,Workshop,Storage and Production Spaces,Werkstatt,Lager- und Produktionsflächen,,
taxonomy,,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:SERVICE,inx_property_type,,Service,Storage and Production Spaces,Service,Lager- und Produktionsflächen,,
taxonomy,,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:FREIFLAECHEN,inx_property_type,,Open Space,Storage and Production Spaces,Freifläche,Lager- und Produktionsflächen,,
taxonomy,,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:KUEHLHAUS,inx_property_type,,Cold Warehouse,Storage and Production Spaces,Kühlhaus,Lager- und Produktionsflächen,,
taxonomy,,,objektkategorie->objektart->land_und_forstwirtschaft,inx_property_type,,Agriculture and Forestry,Agriculture and Forestry Properties,Land- und Forstwirtschaft,Land- und Forstwirtschaft,,
taxonomy,,,objektkategorie->objektart->land_und_forstwirtschaft:land_typ:LANDWIRTSCHAFTLICHE_BETRIEBE,inx_property_type,,Agricultural Plant,Agriculture and Forestry Properties,Landwirtschaftlicher Betrieb,Land- und Forstwirtschaft,,
taxonomy,,,objektkategorie->objektart->land_und_forstwirtschaft:land_typ:BAUERNHOF,inx_property_type,,Farm,Agriculture and Forestry Properties,Bauernhof,Land- und Forstwirtschaft,,
taxonomy,,,objektkategorie->objektart->land_und_forstwirtschaft:land_typ:AUSSIEDLERHOF,inx_property_type,,Isolated Farmstead,Agriculture and Forestry Properties,Aussiedlerhof,Land- und Forstwirtschaft,,
taxonomy,,,objektkategorie->objektart->land_und_forstwirtschaft:land_typ:GARTENBAU,inx_property_type,,Gardening,Agriculture and Forestry Properties,Gartenbau,Land- und Forstwirtschaft,,
taxonomy,,,objektkategorie->objektart->land_und_forstwirtschaft:land_typ:ACKERBAU,inx_property_type,,Arable Farming,Agriculture and Forestry Properties,Ackerbau,Land- und Forstwirtschaft,,
taxonomy,,,objektkategorie->objektart->land_und_forstwirtschaft:land_typ:WEINBAU,inx_property_type,,Wine-growing,Agriculture and Forestry Properties,Weinbau,Land- und Forstwirtschaft,,
taxonomy,,,objektkategorie->objektart->land_und_forstwirtschaft:land_typ:VIEHWIRTSCHAFT,inx_property_type,,Ranching,Agriculture and Forestry Properties,Viehwirtschaft,Land- und Forstwirtschaft,,
taxonomy,,,objektkategorie->objektart->land_und_forstwirtschaft:land_typ:JAGD_UND_FORSTWIRTSCHAFT,inx_property_type,,Hunting and Forestry,Agriculture and Forestry Properties,Jagd- und Forstwirtschaft,Land- und Forstwirtschaft,,
taxonomy,,,objektkategorie->objektart->land_und_forstwirtschaft:land_typ:TEICH_UND_FISCHWIRTSCHAFT,inx_property_type,,Fish Farming,Agriculture and Forestry Properties,Teich- und Fischwirtschaft,Land- und Forstwirtschaft,,
taxonomy,,,objektkategorie->objektart->land_und_forstwirtschaft:land_typ:SCHEUNEN,inx_property_type,,Barn,Agriculture and Forestry Properties,Scheune,Land- und Forstwirtschaft,,
taxonomy,,,objektkategorie->objektart->land_und_forstwirtschaft:land_typ:REITERHOEFE,inx_property_type,,Equestrian Center,Agriculture and Forestry Properties,Reiterhof,Land- und Forstwirtschaft,,
taxonomy,,,objektkategorie->objektart->land_und_forstwirtschaft:land_typ:SONSTIGE_LANDWIRTSCHAFTSIMMOBILIEN,inx_property_type,,Other Agricultural Properties,Agriculture and Forestry Properties,Sonstige Landwirtschaftsimmobilie,Land- und Forstwirtschaft,,
taxonomy,,,objektkategorie->objektart->land_und_forstwirtschaft:land_typ:ANWESEN,inx_property_type,,Estate,Agriculture and Forestry Properties,Anwesen,Land- und Forstwirtschaft,,
taxonomy,,,objektkategorie->objektart->land_und_forstwirtschaft:land_typ:JAGDREVIER,inx_property_type,,Hunting Ground,Agriculture and Forestry Properties,Jagdrevier,Land- und Forstwirtschaft,,
taxonomy,,,objektkategorie->objektart->parken,inx_property_type,,Parking,Parking Spaces,Parken,Parken,,
taxonomy,,,objektkategorie->objektart->parken:parken_typ:STELLPLATZ,inx_property_type,,Car Space,Parking Spaces,Stellplatz,Parken,,
taxonomy,,,objektkategorie->objektart->parken:parken_typ:CARPORT,inx_property_type,,Carport,Parking Spaces,Carport,Parken,,
taxonomy,,,objektkategorie->objektart->parken:parken_typ:DOPPELGARAGE,inx_property_type,,Double Garage,Parking Spaces,Doppelgarage,Parken,,
taxonomy,,,objektkategorie->objektart->parken:parken_typ:DUPLEX,inx_property_type,,Duplex,Parking Spaces,Duplex,Parken,,
taxonomy,,,objektkategorie->objektart->parken:parken_typ:TIEFGARAGE,inx_property_type,,Deep-level Garage,Parking Spaces,Tiefgarage,Parken,,
taxonomy,,,objektkategorie->objektart->parken:parken_typ:BOOTSLIEGEPLATZ,inx_property_type,,Berth,Parking Spaces,Bootsliegeplatz,Parken,,
taxonomy,,,objektkategorie->objektart->parken:parken_typ:EINZELGARAGE,inx_property_type,,Single Garage,Parking Spaces,Einzelgarage,Parken,,
taxonomy,,,objektkategorie->objektart->parken:parken_typ:PARKPLATZ,inx_property_type,,Parking Space,Parking Spaces,Parkplatz,Parken,,
taxonomy,,,objektkategorie->objektart->parken:parken_typ:TIEFGARAGENSTELLPLATZ,inx_property_type,,Deep-level Car Space,Parking Spaces,Tiefgaragenstellplatz,Parken,,
taxonomy,,,objektkategorie->objektart->parken:parken_typ:PARKPLATZ_STROM,inx_property_type,,Car Space with Power Connector,Parking Spaces,Parkplatz mit Stromanschluss,Parken,,
taxonomy,,,objektkategorie->objektart->sonstige,inx_property_type,,Other Property,Miscellaneous Properties,Sonstige Immobilie,Sonstige Immobilien,,
taxonomy,,,objektkategorie->objektart->sonstige:sonstige_typ:PARKHAUS,inx_property_type,,Parking Garage,Miscellaneous Properties,Parkhaus,Sonstige Immobilien,,
taxonomy,,,objektkategorie->objektart->sonstige:sonstige_typ:TANKSTELLE,inx_property_type,,Gas Station,Miscellaneous Properties,Tankstelle,Sonstige Immobilien,,
taxonomy,,,objektkategorie->objektart->sonstige:sonstige_typ:KRANKENHAUS,inx_property_type,,Hospital,Miscellaneous Properties,Krankenhaus,Sonstige Immobilien,,
taxonomy,,,objektkategorie->objektart->sonstige:sonstige_typ:SONSTIGE,inx_property_type,,Other Property,Miscellaneous Properties,Sonstige Immobilie,Sonstige Immobilien,,
taxonomy,,,objektkategorie->objektart->freizeitimmobilie_gewerblich,inx_property_type,,Commercial Recreational Property,Commercial Leisure Properties,Gewerbliche Freizeitimmobilie,Gewerbliche Freizeitimmobilien,,
taxonomy,,,objektkategorie->objektart->freizeitimmobilie_gewerblich:freizeit_typ:SPORTANLAGEN,inx_property_type,,Sports Facility,Commercial Leisure Properties,Sportanlage,Gewerbliche Freizeitimmobilien,,
taxonomy,,,objektkategorie->objektart->freizeitimmobilie_gewerblich:freizeit_typ:VERGNUEGUNGSPARKS_UND_CENTER,inx_property_type,,Theme Park,Commercial Leisure Properties,Vergnügungspark / -center,Gewerbliche Freizeitimmobilien,,
taxonomy,,,objektkategorie->objektart->freizeitimmobilie_gewerblich:freizeit_typ:FREIZEITANLAGE,inx_property_type,,Recreational Facility,Commercial Leisure Properties,Freizeitanlage,Gewerbliche Freizeitimmobilien,,
taxonomy,,,objektkategorie->objektart->zinshaus_renditeobjekt,inx_property_type,,Block of Flats / Income Property,Income Properties,Zinshaus / Renditeobjekt,Renditeobjekte,,
taxonomy,,,objektkategorie->objektart->zinshaus_renditeobjekt:zins_typ:MEHRFAMILIENHAUS,inx_property_type,,Multi-family House,Income Properties,Mehrfamilienhaus,Renditeobjekte,,
taxonomy,,,objektkategorie->objektart->zinshaus_renditeobjekt:zins_typ:WOHN_UND_GESCHAEFTSHAUS,inx_property_type,,Living and Commercial Property,Income Properties,Wohn- und Geschäftshaus,Renditeobjekte,,
taxonomy,,,objektkategorie->objektart->zinshaus_renditeobjekt:zins_typ:GESCHAEFTSHAUS,inx_property_type,,Commercial Property,Income Properties,Geschäftshaus,Renditeobjekte,,
taxonomy,,,objektkategorie->objektart->zinshaus_renditeobjekt:zins_typ:BUEROGEBAEUDE,inx_property_type,,Office Building,Income Properties,Bürogebäude,Renditeobjekte,,
taxonomy,,,objektkategorie->objektart->zinshaus_renditeobjekt:zins_typ:SB_MAERKTE,inx_property_type,,Self-service Market,Income Properties,SB-Markt,Renditeobjekte,,
taxonomy,,,objektkategorie->objektart->zinshaus_renditeobjekt:zins_typ:EINKAUFSCENTREN,inx_property_type,,Mall,Income Properties,Einkaufszentrum,Renditeobjekte,,
taxonomy,,,objektkategorie->objektart->zinshaus_renditeobjekt:zins_typ:WOHNANLAGEN,inx_property_type,,Residential Facility,Income Properties,Wohnanlage,Renditeobjekte,,
